batch,record_id,title,authors,year,doi,citation_key,language,sample_size,sample_age_range,sample_age_mean,sample_in_target_age_band,study_design,modality,narration_used,comprehension_measure,reading_time_measured,effect_word_frequency_on_reading,effect_lexical_diversity_on_reading,effect_syntactic_complexity_on_reading,effect_sentence_length_on_reading,effect_coherence_on_reading,effect_discourse_structure_on_reading,effect_text_emotionality_on_reading,effect_concreteness_on_reading,effect_narration_main,effect_foreign_language,effect_reading_rate_on_comprehension,effect_reading_frequency_on_reading
batch_1,1,"Vocabulary, text coverage, word frequency and the lexical threshold in elementary school reading comprehension","Ludewig, U.; Hubner, N.; Schroeder, S.",2023,https://doi.org/10.1007/s11145-022-10385-0,ludewigVocabularyTextCoverage2023,German,924,Grade 4,10.28,partial,correlational,paper,no,multiple-choice,no,Text coverage (% text words known; estimated from word frequency data) -> comprehension: quadratic model: beta1=-1.26; SE=0.63; p=.046 (linear); beta2=3.90; SE=0.54; p<.001 (quadratic); R2=0.544; lexical threshold at 56%,Vocabulary knowledge score -> comprehension: r(922)=0.61; p<.001; linear model R2=0.537,,,,,,,,,,
batch_1,2,"The role of text vocabulary in word recognition, reading rate, and comprehension of first-grade students","Bruner, L.; Hiebert, E. H.; Tortorelli, L. S.",2026,https://doi.org/10.1007/s11145-026-10829-x,brunerRoleTextVocabulary2026,English,78,Grade 1,not_reported,partial,correlational,paper,no,maze,yes,MLWF -> accuracy: 12% passage-level variance; p<.05; MLWF -> WCPM: 21% passage-level variance; p<.05; MLWF -> maze comprehension: 1% passage-level variance; p<.05 (higher MLWF = more frequent words -> better outcomes),,,,,,,,,,,
batch_1,3,"Reading Development, Word Length and Frequency Effects: An Eye-Tracking Study with Slow and Fast Readers","Gerth, S.; Festman, J.",2021,https://doi.org/10.3389/fcomm.2021.743113,gerthReadingDevelopmentWord2021,German,66,10-12,11.0,partial,quasi_experimental,digital,no,comprehension-questions,yes,Word frequency (log) -> total reading time: b=-0.101; SE=0.021; t=-4.762; p<.001 (low-freq words ~62ms longer); word frequency -> gaze duration: ns; word frequency -> first fixation duration: ns,,,Word length -> gaze duration: b=0.087; SE=0.042; t=2.062; p=.039; word length -> total reading time: b=0.149; SE=0.025; t=5.882; p<.001 (longer words ~172ms longer; note: word length not sentence length),,,,,,,Fast readers: comprehension accuracy 91%; slow readers: 79%; t=-3.22; p=.001 (faster reading group showed sig better comprehension),
batch_1,4,"Beyond first grade: examining word, sentence, and discourse text factors associated with oral reading rate in informational text in second grade","Tortorelli, L. S.",2020,https://doi.org/10.1007/s11145-019-09956-5,tortorelliFirstGradeExamining2020,English,5133,Grade 2,8.2,yes,correlational,paper,no,not_measured,yes,MLWF -> oral reading rate (ORR): individual predictor B=26.66; SE=0.81; t=32.71; p<.0001; nested Model 3: B=15.75; SE=0.81; t=19.54; p<.0001 (higher word frequency -> faster ORR; outcome: oral reading rate not comprehension),,Syntactical simplicity (Coh-Metrix) -> ORR: individual B=2.70; SE=0.14; t=19.27; p<.0001; dropped from nested models (redundant with MSL; outcome: ORR),MSL -> ORR: individual B=-4.11; SE=0.06; t=-63.67; p<.0001; nested Model 3: B=-4.28; SE=0.06; t=-68.29; p<.0001 (longer sentences -> slower ORR; outcome: ORR),Referential cohesion -> ORR: individual B=5.71; SE=0.13; t=43.33; p<.0001; Model 3: B=5.13; SE=0.13; t=38.43; p<.0001; deep cohesion -> ORR: individual B=-1.77; SE=0.07; t=-25.17; p<.0001; Model 3: B=-1.64; SE=0.07; t=-23.95; p<.0001 (outcome: ORR),Narrativity -> ORR: individual B=2.911; SE=0.22; t=13.31; p<.0001; ns when controlling for referential cohesion (B=0.41; SE=0.22; t=1.89); not included in final nested models (outcome: ORR),,Word concreteness (Coh-Metrix) -> ORR: individual B=5.23; SE=0.15; t=35.56; p<.0001; Model 3: B=4.07; SE=0.13; t=31.30; p<.0001 (higher concreteness -> faster ORR; outcome: ORR),,,,
batch_1,5,Reading Comprehension and Academic Vocabulary: Exploring Relations of Item Features and Reading Proficiency,"Lawrence, J. F.; Knoph, R.; McIlraith, A.; Kulesz, P. A.; Francis, D. J.",2022,https://doi.org/10.1002/rrq.434,lawrenceReadingComprehensionAcademic2022,English,1747,Grades 6-8,not_reported,no,correlational,paper,no,not_applicable,no,Word frequency (SFI) main effect on vocabulary item accuracy: ns (b=0.12; SE=0.14; EIRT model 5; note: outcome is vocabulary knowledge),Word polysemy -> vocabulary item knowledge: b=0.35; SE=0.13; p<.01 (model 5; more meanings -> easier; outcome: vocabulary knowledge),,,,,,,,,,
batch_1,8,Learning to Read Connections-Sensitivity to Collocation Frequency Links Vocabulary Size and Reading Comprehension in Middle Childhood,"Schmitterer, A. M. A.; Gawrilow, C.; Friedrich, C.",2024,https://doi.org/10.1002/rrq.548,schmittererLearningReadConnectionsSensitivity2024,German,147,Grade 3,8.8,yes,correlational,mixed,no,comprehension-questions,yes,Collocation frequency t-score difference -> thematic judgment accuracy: OR=1.52; SE=0.29; p=.029 (larger frequency contrast -> higher accuracy); t-score maximum -> response latency: b=0.92; SE=0.02; p<.001 (stronger co-occurrence -> faster response; note: collocation = word co-occurrence frequency),Vocabulary size -> thematic judgment: beta=.47; SE=.07; p<.001; thematic judgment -> text-level RC: beta=.35; SE=.14; p<.05; mediation indirect: beta=.16; SE=.07; p<.05; exploratory model (thematic judgment -> vocabulary -> RC): indirect beta=.20; SE=.06; p<.01; vocab -> RC: beta=.28; SE=.08; p<.01,,,,,,,,,,
batch_1,9,Development of the retrieval of word meanings and its impact on reading comprehension throughout elementary school: A longitudinal study.,"Dahdah, P.; Naumann, J.; Haffmans, M.-B.; Schindler, J.; Richter, T.",2025,https://doi.org/10.1037/edu0000962,dahdahDevelopmentRetrievalWord2025,German,1006,Grades 1-4,not_reported,partial,longitudinal,digital,no,comprehension-questions,yes,,RoWM intercept (spoken) -> RC Grade 2: L1 beta=0.40; L2 beta=0.44 (both sig); intercept -> RC Grade 4: L1 beta=0.57; L2 beta=0.50 (both sig); slope -> RC Grade 4: L1 beta=0.34; L2 beta=0.57 (both sig); R2 Grade 4: L1 42%; L2 51%; written words: similar pattern with larger effects; R2 Grade 4: L1 54%; L2 63% (note: RoWM = retrieval of word meanings efficiency),,,,,,,,,,
batch_1,10,Vocabulary and reading comprehension: what are the links in 7- to 10 year-old children?,"Dujardin, E.; Ecalle, J.; Auphan, P.; Bailloud, N.; Magnan, A.",2023,https://doi.org/10.1111/sjop.12912,dujardinVocabularyReadingComprehension2023,French,237,7-10,not_reported,yes,correlational,digital,yes,multiple-choice,no,,Vocabulary (depth) -> RC: fully mediated by WR and LC; indirect via WR: beta=0.23; SE=0.072; P=0.001; indirect via LC: beta=0.057; SE=0.024; p=0.02; direct paths: vocab->WR=0.56; WR->RC=0.57; vocab->LC=0.35; LC->RC=0.20 (N=237; SEM; no direct vocab->RC effect),,,,,,,,,,
batch_1,13,Understanding variation in children's reading comprehension: A dynamic approach,"Gruhn, S.; Segers, E.; Keuning, J.; Verhoeven, L.",2024,https://doi.org/10.1111/jcal.12923,gruhnUnderstandingVariationChildrens2024,Dutch,293,8-11,not_reported,partial,experimental,digital,no,multiple-choice,no,,Vocabulary feedback (experimental) -> global text comprehension: decrease for lower-skilled students; vocabulary+integration group sig decrease vs. control (overall); vocabulary accuracy x time interaction: OR=1.07; SE=0.03; p<.01 (1st attempt; higher vocab accuracy = less decrease; note: dynamic digital feedback assessment),,,Sentence-integration accuracy x time: OR=1.07; SE=0.03; p<.05 (1st attempt); students correct 1st attempt: stable comprehension (time chi2(1)=0.90; p=0.34); students incorrect after feedback: sig decrease (chi2(1)=19.50; p<.001; B=0.30; SE=0.07; OR=0.74),,,,,,,
batch_1,18,Reading Errors of Importance: The Role of Word Frequency and Relevance in Passage-Specific Comprehension,"Huerta, N. B.; Logan, J. A.; Cutting, L. E.",2026,https://doi.org/10.1080/10573569.2026.2669643,huertaReadingErrorsImportance2026,English,191,9-14,not_reported,partial,correlational,paper,no,comprehension-questions,no,Word frequency -> reading errors: - sig (lower frequency -> more errors; independent of TF-IDF); TF-IDF (word relevance) -> reading errors: + sig (independent of word frequency); errors on low-frequency-high-relevance words -> passage comprehension: b=-1.04; p=0.04 (Toads passage); b=-1.28; p=0.025 (Peanuts passage; more such errors -> worse comprehension),,,,,,,,,,,
batch_2,19,The Contribution of Text Characteristics to Reading Comprehension: Investigating the Influence of Text Emotionality,"Pickren, S. E.; Stacy, M.; Del Tufo, S. N.; Spencer, M.; Cutting, L. E.",2022,https://doi.org/10.1002/rrq.431,pickrenContributionTextCharacteristics2022,English,158,8-11,10.03,partial,correlational,paper,no,multiple-choice,no,,,,,deep cohesion B=0.32; SE=0.03; p<.001 (+ sig); referential cohesion ns (p=.461) model D; B=0.12 p<.01 model E,narrativity B=0.17; SE=0.04; p<.001 (model D); + sig,arousal B=0.29; SE=0.03; p<.001 (model E); + sig,word concreteness B=-0.17; SE=0.03; p<.001 (model D); - sig,,,,
batch_2,20,Can Large Language Models Generate Useful Linguistic Corpora?: A Case Study of the Word Frequency Effect in Young German Readers,"Schepens, J.; Woloszyn, H.; Marx, N.; Gagl, B.",2025,https://doi.org/10.1162/OPMI.a.30,schepensCanLargeLanguage2025,German,1152 (words; item-level RT data from DeveL),Grades 1-6; younger and older adults,not_reported,partial,correlational,digital,no,not_measured,yes,B=-0.025; SE=0.003; p<.01 (childLex log freq on Grade 2 log RT); B=-0.017; SE=0.002; p<.01 (LLM log freq); - sig (higher frequency = faster RT),,,,,,,,,,,
